Date and Time,Symbol,Summary,D Close,Sell,Neutral,Buy,Volume,ADX,RSI,Last RSI,AO,%Change(D),Support,Resistance,Charts,Financials,Technicals
2024-03-03 22:27:12.066179,KSE30,STRONG_BUY,22145.6605,0,9,16,,20.13182568,65.81748603,62.93578262,354.31395588,1.17215952,19340.432005553335,23236.074855553336,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AKSE30,https://www.tradingview.com/symbols/PSX-KSE30/financials-overview/,https://www.tradingview.com/symbols/PSX-KSE30/technicals/
2024-03-03 22:27:12.066179,KSE100,STRONG_BUY,65325.6864,0,10,15,,19.09771759,64.79588525,61.64477775,958.30173735,1.15698434,57858.47199444667,68143.06902778,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AKSE100,https://www.tradingview.com/symbols/PSX-KSE100/financials-overview/,https://www.tradingview.com/symbols/PSX-KSE100/technicals/
2024-03-03 22:27:12.066179,MTL,STRONG_BUY,623.71,1,9,16,444589.0,19.33254276,75.06706845,71.02855026,27.04864706,2.93942895,500.91111111333333,658.3944444466666,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AMTL,https://www.tradingview.com/symbols/PSX-MTL/financials-overview/,https://www.tradingview.com/symbols/PSX-MTL/technicals/
2024-03-03 22:27:12.066179,MEBL,STRONG_BUY,195.21,0,10,16,2838550.0,24.36429087,80.14105743,75.38963026,16.46238235,3.89589654,153.79611111333335,206.77944444666664,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AMEBL,https://www.tradingview.com/symbols/PSX-MEBL/financials-overview/,https://www.tradingview.com/symbols/PSX-MEBL/technicals/
2024-03-03 22:27:12.066179,ENGRO,STRONG_BUY,347.74,0,10,16,1314196.0,17.53112874,74.6062598,59.8143349,4.58447059,7.49969086,292.96111111333335,342.4244444466667,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AENGRO,https://www.tradingview.com/symbols/PSX-ENGRO/financials-overview/,https://www.tradingview.com/symbols/PSX-ENGRO/technicals/
2024-03-03 22:27:12.066179,DAWH,STRONG_BUY,124.72,0,9,17,227400.0,18.09902542,75.10465158,57.43011744,1.258,7.49870712,106.90222222,122.30222221999999,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3ADAWH,https://www.tradingview.com/symbols/PSX-DAWH/financials-overview/,https://www.tradingview.com/symbols/PSX-DAWH/technicals/
2024-03-03 22:27:12.066179,ATRL,STRONG_BUY,350.35,0,10,16,2852208.0,18.07804087,65.42699078,62.08422061,13.53338235,2.60052128,268.60722222,383.86888888666664,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AATRL,https://www.tradingview.com/symbols/PSX-ATRL/financials-overview/,https://www.tradingview.com/symbols/PSX-ATRL/technicals/
Today_Strong_buy --- date and time: 2024-03-03 22:28:36.750043
2024-03-03 22:27:12.066179,KSE30,STRONG_BUY,22145.6605,0,9,16,,20.13182568,65.81748603,62.93578262,354.31395588,1.17215952,19340.432005553335,23236.074855553336,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AKSE30,https://www.tradingview.com/symbols/PSX-KSE30/financials-overview/,https://www.tradingview.com/symbols/PSX-KSE30/technicals/
2024-03-03 22:27:12.066179,DAWH,STRONG_BUY,124.72,0,9,17,227400.0,18.09902542,75.10465158,57.43011744,1.258,7.49870712,106.90222222,122.30222221999999,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3ADAWH,https://www.tradingview.com/symbols/PSX-DAWH/financials-overview/,https://www.tradingview.com/symbols/PSX-DAWH/technicals/
2024-03-03 22:27:12.066179,HINOON,BUY,506.77,4,10,12,5800.0,24.44754525,50.75871779,52.69144964,7.72241176,-1.02148438,428.27777778,594.1944444466667,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AHINOON,https://www.tradingview.com/symbols/PSX-HINOON/financials-overview/,https://www.tradingview.com/symbols/PSX-HINOON/technicals/
2024-03-03 22:27:12.066179,GLAXO,STRONG_BUY,86.98,0,10,16,43500.0,14.1835943,58.05495273,57.54108927,4.97858824,0.28825089,69.79611111333334,102.75944444666668,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AGLAXO,https://www.tradingview.com/symbols/PSX-GLAXO/financials-overview/,https://www.tradingview.com/symbols/PSX-GLAXO/technicals/
2024-03-03 22:27:12.066179,FHAM,STRONG_BUY,7.74,1,9,16,49500.0,22.8824968,66.82583765,61.90880288,0.29061765,1.84210526,6.701666666666667,8.315,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AFHAM,https://www.tradingview.com/symbols/PSX-FHAM/financials-overview/,https://www.tradingview.com/symbols/PSX-FHAM/technicals/
